,channel_AF3_lyap_r,arousal,valence,dominance,liking,subject,channel_F3_lyap_r,channel_F7_lyap_r,channel_FC5_lyap_r,channel_T7_lyap_r,channel_P7_lyap_r,channel_O1_lyap_r,channel_O2_lyap_r,channel_P8_lyap_r,channel_T8_lyap_r,channel_FC6_lyap_r,channel_F8_lyap_r,channel_F4_lyap_r,channel_AF4_lyap_r
0,0.04133782972369268,7.71,7.6,6.9,7.83,s01,0.045203127554210805,0.0392510150608263,0.0387536082351416,0.04075417915980014,0.04840324907972108,0.042432885002671596,0.0014680734614735493,0.0479732481160559,0.03766338562132354,0.044504955030025495,0.04027084927809862,0.03802586123775666,0.04555354566502402
0,0.045712950175866254,8.1,7.31,7.28,8.47,s01,0.05052343777247839,0.044517203459684226,0.04523046384180402,0.04106900231880047,0.050437880548319505,0.04681087962368066,0.016110658645629754,0.04869769578589539,0.04487031877489023,0.048186108582001945,0.041507237835934234,0.03601681047285196,0.04804477297273798
0,0.04233353723559453,8.58,7.54,9.0,7.08,s01,0.027411469564029168,0.034875398680036175,0.04453899457042384,0.044523838229645514,0.052147808379696826,0.04597040477551903,0.002828605242256105,0.049607138795063975,0.04238549533643216,0.04403565641035107,0.04541697062944116,0.04387019666514009,0.047028759637273404
0,0.04499740009021049,4.94,6.01,6.12,8.06,s01,0.03527549651279646,0.037838351220380206,0.045558224329466865,0.04522388662610745,0.04946359763468126,0.04815554968396526,0.019775404403576318,0.04861387417728747,0.042116192767494544,0.04419890149195398,0.04531060080779233,0.04182017769729874,0.04585526339093552
0,0.04132103041598663,6.96,3.92,7.19,6.05,s01,0.03523477217308564,0.04688019675688532,0.03690025143157271,0.04925669532135379,0.04710411941796015,0.048887830031545586,0.0009978871026676125,0.0473331574210548,0.03531735705781018,0.045954359294776696,0.037890024255831,0.0437330986324111,0.04406460962797462
0,0.04111780200088227,8.27,3.92,7.0,8.03,s01,0.043986094446110624,0.03658425954350248,0.04286087661757512,0.03807001824964547,0.05080695116430308,0.04775610964997381,0.005222147747986343,0.048888431455856037,0.0443349102385959,0.04579185704539596,0.039635488234068164,0.04398006568277695,0.04311475691042445
0,0.04422417771547371,7.44,3.73,7.08,7.04,s01,0.04263242142541075,0.037428358144927454,0.04380233018918154,0.044298608948413615,0.04879902646057593,0.048738616122339,0.006662478841337179,0.04770516892124842,0.04527563815726379,0.04698693115908401,0.045051974102966845,0.04405995212999506,0.04376382012116274
0,0.04674044874377723,7.32,2.55,6.32,5.87,s01,0.038451737769142555,0.042580347102985,0.04193754823584296,0.04052154515918925,0.051946406884301057,0.04564404947715888,0.011143718341555793,0.04638977720026378,0.045396494417262345,0.04818753264004132,0.045920506186951475,0.047249375001205525,0.04856137359948988
0,0.04676462976556086,4.04,3.29,3.62,5.99,s01,0.046702558474433255,0.042948146242844515,0.04544572346192556,0.04626015090217963,0.05040783371244165,0.045237447504411624,0.013796292689808446,0.04903754506792345,0.046231376592126366,0.0476284695747204,0.04267508188883459,0.037819359595315474,0.046844055598839855
0,0.044432960327406665,1.99,4.86,2.04,7.09,s01,0.03850427761412498,0.03807957339705075,0.03571584416089574,0.04416204242778009,0.050527968173636605,0.0391720737413409,0.0038964110209530225,0.045934078299013366,0.04155832821862734,0.04596505263694255,0.045075272796745676,0.045104390069058135,0.043224818246406345
0,0.045404807965558354,2.99,2.36,3.63,6.24,s01,0.029615677599883837,0.04011061735320502,0.04503903756464341,0.04562282418846195,0.049642061739039615,0.048653042495698955,0.001955303983422583,0.049078322084326546,0.044075864687898175,0.04656914212649935,0.042657470972018184,0.040003456985741294,0.043786073149296154
0,0.04562099078544106,2.71,2.77,3.4,7.35,s01,0.04523830575154248,0.045380740327046386,0.04464198852840229,0.04638277408771957,0.05050143128947218,0.049590507933968006,0.005962038876717408,0.04967526968260465,0.04625992541922665,0.04694826441599919,0.042221905055798925,0.040521505422759424,0.04801835646306671
0,0.03997259265498103,1.95,3.12,2.87,6.18,s01,0.030652799543919626,0.036599991280438934,0.03839133455042248,0.045286477336508445,0.04820083532118265,0.04716200676179476,0.012470614282708358,0.04674517427171989,0.04093344797167855,0.04682433551415468,0.04432271136377095,0.043441143340634314,0.04709061913024221
0,0.044496757016146186,4.18,2.24,3.04,5.04,s01,0.043960289309795744,0.03992958068847649,0.042203269686017786,0.03713985493308614,0.05048149895847299,0.04834645439807642,0.010327717295863927,0.04792830639315734,0.04367088402124282,0.044464260922338746,0.0374702666935167,0.02582468062776154,0.04315615999967538
